"","sigma","par1","par2","par3","par4","convergence","log.lik"
"5701",0.1,1.70026700092559,0.448834759642986,0.107563711633472,0.0376545772081252,0,5125.48528894624
"5702",0.1,1.67965158821084,0.514950054241386,0.102732424843327,0.0365556399731234,0,5120.14361844096
"5703",0.1,1.53732974617422,0.487346690004632,0.105891304850762,0.0369593481801852,0,5137.9570052292
"5704",0.1,1.87825081793595,0.352278990323484,0.115056647426847,0.0393271585540691,0,5122.22050606524
"5705",0.1,1.73142476896608,0.455981619422514,0.106970907716938,0.0374263700664706,0,5114.41482682631
"5706",0.1,1.46320809727587,0.432643783863399,0.111233434966028,0.0376733859850217,0,5154.37221145919
"5707",0.1,1.68071081817227,0.493361433459439,0.104388593279015,0.0366961439117963,0,5135.24204695492
"5708",0.1,1.85776507637269,0.366775570192454,0.114516773832783,0.0390755753998319,0,5107.79556696148
"5709",0.1,1.7704269729124,0.509359735375664,0.102847796687945,0.0367243177409391,0,5111.62201234649
"5710",0.1,1.67999029170554,0.43324044694051,0.109323657114319,0.0377800667136222,0,5127.22234718728
"5711",0.1,1.58648992235704,0.34685062030985,0.11674750470929,0.0396242401093959,0,5146.04822879166
"5712",0.1,1.58843208347265,0.507600140643452,0.10416062240569,0.0367729482650612,0,5113.81637243048
"5713",0.1,1.67237237273105,0.468024382866982,0.106409203633913,0.0377418308085693,0,5116.51882333356
"5714",0.1,1.80488850497108,0.511336854885815,0.103236123007984,0.0362547093420106,0,5112.34127067365
"5715",0.1,1.58392835681294,0.388722490379886,0.113471237024876,0.0387178454823422,0,5145.33444197219
"5716",0.1,1.83732121818239,0.479047827681679,0.10526277539642,0.0371985302260896,0,5116.38742817121
"5717",0.1,1.83133194544578,0.395150851373353,0.111327105282105,0.03868791686011,0,5120.24574625786
"5718",0.1,1.88012691251291,0.433335019206336,0.109344864308222,0.0376622347075038,0,5107.59358877386
"5719",0.1,1.6613308754724,0.451326004129048,0.107201532558466,0.0376869702985966,0,5133.73019831769
"5720",0.1,1.70217628058175,0.561979089529985,0.099332732295611,0.0357440971804418,0,5111.33244797937
"5721",0.1,1.71946957887504,0.544591388411293,0.100585014176413,0.0363903034148666,0,5113.60524748818
"5722",0.1,1.58031017441909,0.487398038089041,0.106431375851104,0.0371025337346199,0,5114.58668007957
"5723",0.1,1.8531824735947,0.394211195531795,0.111708478812149,0.0387681512239429,0,5088.08578118005
"5724",0.1,1.75002953172147,0.456291396384221,0.107440611842023,0.0372352987644824,0,5126.64938687144
"5725",0.1,1.91441868583035,0.39054894494642,0.111830593057723,0.0388078610721575,0,5084.0584576595
"5726",0.1,1.67029830895319,0.410366029754275,0.1105820703569,0.0382596122238125,0,5127.55338226467
"5727",0.1,1.81181362513426,0.453334888762024,0.106715225166038,0.0376283579388524,0,5119.66545753539
"5728",0.1,1.74547028409075,0.490609618282382,0.104556865001717,0.0373040264475807,0,5116.81558185383
"5729",0.1,1.66177987395579,0.414068104172279,0.110993700470339,0.038100854794473,0,5151.0611570972
"5730",0.1,2.02819920897867,0.420597066528741,0.10980141541743,0.037890721650815,0,5085.23423748967
"5731",0.1,1.72329379093872,0.414929054548543,0.111052619957234,0.0384117840772007,0,5103.90535432267
"5732",0.1,1.60308538145528,0.545579056910214,0.100623224589703,0.0362119771346409,0,5127.53767614294
"5733",0.1,1.73614035216702,0.443685911650005,0.108062151552183,0.0378741690042177,0,5112.74242783028
"5734",0.1,1.95689139379175,0.437788458494091,0.108724846132662,0.0379651740340583,0,5071.51621182321
"5735",0.1,1.83860946471996,0.496539290880548,0.103628122592089,0.0372630992211386,0,5103.71268879242
"5736",0.1,1.59441935933403,0.429718092927998,0.109217010426115,0.0380079308506069,0,5126.05294309232
"5737",0.1,1.86164085118777,0.31100490858799,0.118542337287513,0.0404538993765084,0,5086.19781770043
"5738",0.1,1.8527972382813,0.414077427143981,0.110860920531066,0.0382515577860339,0,5085.59605682461
"5739",0.1,1.7346389447494,0.420119685236392,0.11036715186668,0.0383748768549374,0,5116.66422245213
"5740",0.1,1.69272572870917,0.415803012879584,0.110780023090832,0.0382550863452585,0,5123.26774583726
"5741",0.1,1.69622366398483,0.533857038545952,0.101595435974379,0.0365902464978565,0,5109.45813530494
"5742",0.1,1.74217219228576,0.411278878674384,0.111230702113446,0.0380705120091129,0,5119.19071761555
"5743",0.1,1.7983147168194,0.420933527368401,0.109369814351936,0.0385127686621766,0,5106.67900577961
"5744",0.1,1.53656882523667,0.500655963223892,0.105233712572554,0.0367619928550623,0,5128.61411864323
"5745",0.1,1.77473768964011,0.38245373923316,0.112443204731718,0.0390084784782228,0,5106.10714930029
"5746",0.1,1.81059329509372,0.358902399539067,0.115513313962565,0.0393387916398809,0,5111.69001599071
"5747",0.1,1.66756270458961,0.487030246062094,0.105230243474794,0.0368159151874358,0,5127.86048416026
"5748",0.1,1.48953737820772,0.468440000368138,0.107505758322437,0.0372842259653529,0,5139.53406474236
"5749",0.1,1.65261244795582,0.510238532061767,0.103403523897085,0.0369041302641802,0,5125.06876612361
"5750",0.1,1.85025420022737,0.466366680715315,0.106482683630616,0.0374385932255326,0,5088.28728657773
"5751",0.1,1.87840524227224,0.323671396867803,0.116201831492366,0.0403519287400445,0,5100.03408080208
"5752",0.1,1.75821102582257,0.497424503850826,0.104192693269456,0.0367037214648814,0,5118.16546611587
"5753",0.1,1.75803090865128,0.368179715385564,0.113960175929298,0.0389614540378389,0,5142.13252918897
"5754",0.1,1.74503078016413,0.509159138667901,0.103400573269209,0.0366703161923553,0,5111.54591881114
"5755",0.1,1.70542188227452,0.508093071156174,0.103739897254212,0.0369215461917977,0,5113.22008532211
"5756",0.1,1.6300447311568,0.490831689035772,0.104835116404608,0.0371980822032507,0,5112.11727288505
"5757",0.1,1.91100872679746,0.415974690695989,0.110250081348112,0.0381516488180358,0,5099.88087879153
"5758",0.1,1.74918510816295,0.441410100026916,0.10841943935865,0.0376781693547713,0,5128.1633369034
"5759",0.1,1.6263197909285,0.480921648729646,0.106770552410822,0.0371158679972369,0,5130.69021046365
"5760",0.1,1.90871696003438,0.472563787995036,0.105981807959431,0.0370894074100696,0,5095.73494303012
"5761",0.1,1.41414213388527,0.451627645142529,0.108945572085487,0.0373538280207196,0,5169.51127067861
"5762",0.1,1.60654480077532,0.479017581704171,0.105859640021123,0.0372439621064901,0,5137.51847185971
