"","Year","EstBiomass","X95CI.LowBound","X95CI.HighBound"
"2004/05",2004,79.7582701406864,63.6593951323391,103.412687357135
"2005/06",2005,62.4657663087067,50.3784160693223,80.1346825599061
"2006/07",2006,86.7712011988745,68.7215575951585,113.385682463335
"2007/08",2007,55.1511095699336,44.7837144657817,70.2502011973652
"2008/09",2008,92.9338190988823,74.0361728756887,120.724938693047
"2009/10",2009,256.824587390122,210.4790964019,323.95869326995
"2010/11",2010,158.242274128363,122.480236123042,225.202108941881
"2011/12",2011,114.367986102584,87.0377620825273,166.609475348133
"2012/13",2012,97.2664566515101,81.0493038968501,123.476694526861
"2013/14",2013,225.175342396984,167.872009108357,337.091292360724
"2014/15",2014,174.528788227786,137.630646475337,241.782072875016
