"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","rec18","rec19","rec20","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12","Biomass13","Biomass14","Biomass15"
"1",3.63274358007962,1.79663639817333,1.86327155333429,1.85465295832329,1.82442661177999,0,0,0,54231.0975604932,986047.602375399,1063540.07860399,760583.397229678,678093.117502359,1108321.70815463,1802840.59331718,1350764.97180489,1318450.29350026,1024447.90831623,1231850.43971151,1636685.139306,1107146.57362635,623956.631053215,1011490.33448148,980109.100858678,135538.288435506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3.63274358007962,1.79663639817333,1.86327155333429,1.85465295832329,1.80893753194255,0,0,0,54231.0975604932,986047.602375399,1063540.07860399,760583.397229678,678093.117502359,1108321.70815463,1802840.59331718,1350764.97180489,1318450.29350026,1024447.90831623,1231850.43971151,1636685.139306,1107146.57362635,623956.631053215,1011490.33448148,980109.100858678,135538.288435506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3.57615616649409,1.79663639817333,1.86045542907715,1.65853831948012,1.80893753194255,0,0,0,54535.3825193643,991580.210073446,1067749.85322013,763645.93002788,681148.461798096,1114281.16584038,1813487.03196654,1361997.89312534,1414401.63083794,1100628.70532261,1325542.74285026,1763252.48947376,1194348.97530185,676963.773505097,1099678.0628506,1065648.80147519,148164.549944545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3.47998587934571,1.79663639817333,1.86045542907715,1.66471003322505,1.80893753194255,0,0,0,55075.2352596205,1001395.98698032,1074569.1687671,768607.25512982,686099.61656475,1123942.87974437,1830759.38520978,1380239.92402532,1434131.64880431,1116318.97705034,1344880.74704357,1789434.89668056,1212334.32911891,688000.355467777,1118157.82452811,1083613.08762458,150685.499013553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",3.47998587934571,1.79663639817333,1.86045542907715,1.66471003322505,1.80893753194255,0,0,0,55075.2352596205,1001395.98698032,1074569.1687671,768607.25512982,686099.61656475,1123942.87974437,1830759.38520978,1380239.92402532,1434131.64880431,1116318.97705034,1344880.74704357,1789434.89668056,1212334.32911891,688000.355467777,1118157.82452811,1083613.08762458,150685.499013553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3.47998587934571,1.79663639817333,1.89050828187452,1.66471003322505,1.7599913913642,0,0,0,55075.2352596205,1001395.98698032,1070540.12561081,765676.182031053,683176.500015964,1118251.59564935,1820597.95172214,1369644.55879409,1434131.64880431,1116318.97705034,1344880.74704357,1789434.89668056,1212334.32911891,688000.355467777,1118157.82452811,1083613.08762458,150685.499013553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3.42448810596852,1.79663639817333,1.89050828187452,1.66471003322505,1.70943856759555,0,0,0,55400.583090316,1007311.56597191,1074584.87575548,768618.979924869,686113.61729557,1123984.37661436,1830848.47688801,1380474.99796222,1447807.36449874,1127191.32442024,1358275.24363531,1807563.03646921,1224795.92248257,695632.945562255,1130922.83279612,1096019.33708938,152442.341376572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",3.26835833076434,1.79663639817333,1.92732252827465,1.66471003322505,1.5597386254011,0,0,0,56375.1960528272,1025032.29060003,1081630.1809254,773745.672798612,691234.829295664,1134001.82646791,1848788.66101314,1399605.88575683,1488814.00298472,1159790.75534696,1398434.40556284,1861913.11455078,1262162.63403097,718511.8124844,1169181.10353175,1133206.54040415,157710.427379321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",3.26835833076434,1.79663639817333,1.79041815894536,1.64760726531482,1.5597386254011,0,0,0,56375.1960528272,1025032.29060003,1101561.39309656,788248.849721478,705707.038917274,1162185.26612607,1899194.89892869,1452063.35638643,1497797.94170051,1166919.5146711,1407193.64089512,1873736.53563068,1270332.3064654,723455.162632334,1177382.56098373,1141164.92783563,158910.961911065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",3.03728059883,1.79663639817333,1.58366983867362,1.64760726531482,1.5597386254011,0,0,0,58001.7529785188,1054606.85986379,1162408.63690078,832551.691782778,749969.156585295,1248419.15639535,2053983.19096114,1612947.36397686,1567030.85872146,1221952.48201713,1474977.09818331,1965464.76431221,1333424.0518218,762051.660464634,1241899.60074676,1203891.11456098,167812.715588111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",3.03728059883,1.79663639817333,1.58366983867362,1.64760726531482,1.5597386254011,0,0,0,58001.7529785188,1054606.85986379,1162408.63690078,832551.691782778,749969.156585295,1248419.15639535,2053983.19096114,1612947.36397686,1567030.85872146,1221952.48201713,1474977.09818331,1965464.76431221,1333424.0518218,762051.660464634,1241899.60074676,1203891.11456098,167812.715588111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3.00110756538524,1.79663639817333,1.56728408916952,1.64760726531482,1.5597386254011,0,0,0,58279.0751362336,1059649.21704064,1170154.49983962,838194.622805114,755612.134011075,1259412.97268091,2073770.14212705,1633466.55090176,1578848.29886273,1231345.60542878,1486545.52946742,1981119.29418606,1344193.23037789,768636.970989313,1252905.72396247,1214593.18256136,169332.133230999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2.87190338372587,1.79663639817333,1.66174182429578,1.65510768345815,1.5597386254011,0,0,0,59326.7339907386,1078698.06924412,1165157.77392638,834558.202179124,752001.436544689,1252508.67734834,2061424.54950819,1621525.90528521,1619022.78592789,1263283.62541009,1525889.0736173,2034373.86436287,1380808.30995103,791050.573953038,1290395.51944233,1251055.92002562,174471.169970652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2.65911713241009,1.79663639817333,1.66174182429578,1.65510768345815,1.6805440887056,0,0,0,61274.3194010775,1114109.63409741,1192836.36898048,854731.176895477,772209.55241577,1292010.30464775,2132637.74338968,1696049.24320189,1701841.89075425,1329105.70867748,1606942.38583204,2144050.71671208,1456275.73641892,837165.225020705,1367448.84042676,1325998.56920341,185114.053062158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2.65911713241009,1.79663639817333,1.69115996353594,1.65510768345815,1.6805440887056,0,0,0,61274.3194010775,1114109.63409741,1186354.73577257,850007.749385323,767486.722911388,1282828.93180665,2116100.57944226,1679069.35379421,1701841.89075425,1329105.70867748,1606942.38583204,2144050.71671208,1456275.73641892,837165.225020705,1367448.84042676,1325998.56920341,185114.053062158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2.67511716015618,1.79663639817333,1.88566823220152,1.70391962905562,1.6805440887056,0,0,0,61117.0876487798,1111250.80210638,1146621.03163953,821061.324645153,738543.302541654,1226475.4124457,2014729.06620199,1574403.80338182,1664709.21762481,1299635.39368491,1570727.5041649,2095149.04033836,1422457.84026904,816698.21575095,1333473.70822414,1292985.14951509,180162.164445818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2.75435321832465,1.72033703735661,1.66730231178659,1.70391962905562,1.6805440887056,0,0,0,59289.3357696894,1078018.01307855,1163587.69560891,833447.675309107,750989.688541531,1250777.8985799,2059487.55673336,1620683.85330663,1592725.91771064,1242532.48515483,1500452.82992649,2000176.00389242,1358152.65136426,777212.130599007,1267120.0039884,1229314.57717234,172070.751295641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2.75435321832465,1.72033703735661,1.66730231178659,1.70391962905562,1.6805440887056,0,0,0,59289.3357696894,1078018.01307855,1163587.69560891,833447.675309107,750989.688541531,1250777.8985799,2059487.55673336,1620683.85330663,1592725.91771064,1242532.48515483,1500452.82992649,2000176.00389242,1358152.65136426,777212.130599007,1267120.0039884,1229314.57717234,172070.751295641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2.75435321832465,1.72033703735661,1.69962774976442,1.70391962905562,1.6805440887056,0,0,0,59289.3357696894,1078018.01307855,1157058.89237064,828690.109586985,746231.945364653,1241523.61964949,2042804.00493729,1603533.16508362,1592725.91771064,1242532.48515483,1500452.82992649,2000176.00389242,1358152.65136426,777212.130599007,1267120.0039884,1229314.57717234,172070.751295641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2.75435321832465,1.72033703735661,1.42946666949576,1.70133806834971,1.6805440887056,0,0,0,59289.3357696894,1078018.01307855,1220670.03140203,875064.537041157,792603.824070878,1331534.85001558,2205370.78560514,1769557.49127353,1594186.80095647,1243691.62091914,1501876.53882549,2002097.69361122,1359484.53249061,778015.828184747,1268451.34487432,1230610.0454954,172269.311505164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2.75435321832465,1.72033703735661,1.42946666949576,1.70133806834971,1.69646031637048,0,0,0,59289.3357696894,1078018.01307855,1220670.03140203,875064.537041157,792603.824070878,1331534.85001558,2205370.78560514,1769557.49127353,1594186.80095647,1243691.62091914,1501876.53882549,2002097.69361122,1359484.53249061,778015.828184747,1268451.34487432,1230610.0454954,172269.311505164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2.75435321832465,1.72033703735661,1.42946666949576,1.70133806834971,1.69646031637048,0,0,0,59289.3357696894,1078018.01307855,1220670.03140203,875064.537041157,792603.824070878,1331534.85001558,2205370.78560514,1769557.49127353,1594186.80095647,1243691.62091914,1501876.53882549,2002097.69361122,1359484.53249061,778015.828184747,1268451.34487432,1230610.0454954,172269.311505164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2.76905251060584,1.72033703735661,1.42946666949576,1.70133806834971,1.69646031637048,0,0,0,59160.3302852379,1075672.39962519,1218535.77785563,873507.036984011,791041.639356784,1328486.13161268,2199843.29346272,1763819.28268437,1588815.90790145,1239422.14567224,1496618.36658983,1994980.83576606,1354583.03499311,775020.93911589,1263447.6454829,1225736.40428781,171573.64316681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2.60308571149364,1.69483468361316,1.42946666949576,1.70133806834971,1.77677146907377,0,0,0,60321.1392037292,1096778.4884652,1237816.30547508,887604.415482233,805238.027946081,1356274.92431413,2250895.40892453,1817015.85697605,1638584.88326967,1279023.36317616,1545404.01180467,2061063.47833673,1400483.76748403,802985.926666975,1310037.44329272,1271483.09888809,178452.72299796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2.42911647849534,1.69483468361316,1.42946666949576,1.70133806834971,1.77677146907377,0,0,0,62136.0608744771,1129777.79638729,1267916.25109975,909592.609477334,827320.837118624,1399372.68115371,2329251.32787716,1898122.87731919,1714459.51951801,1339332.59471526,1619665.66772313,2161575.38754897,1469760.44188656,845266.984600758,1380646.66885254,1340317.32109384,188312.2387136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2.19276802337205,1.69483468361316,1.42946666949576,1.70133806834971,1.77677146907377,0,0,0,65064.0155423439,1183014.30876577,1316586.2450049,945177.452356024,863089.090025416,1469156.39862692,2456319.0134594,2029281.24433263,1837104.88885718,1436805.51635426,1739669.07931441,2323988.91344321,1581726.03933142,913551.036781986,1494652.82716313,1451483.0890127,204242.946122977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2.19276802337205,1.54553655033346,1.42946666949576,1.70133806834971,1.77677146907377,0,0,0,62420.1154688115,1134941.32627713,1273309.31404152,913772.294311295,831975.783051344,1409086.40190942,2352142.75191379,1922679.69943156,1737185.65743789,1357655.75085626,1642308.53849017,2192691.83371885,1494044.96652667,859384.797826981,1403370.44180519,1365719.56955277,194487.216428898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2.20947557802983,1.58537160941936,1.486436062788,1.70133806834971,1.77677146907377,0,0,0,62912.5782177356,1143895.75661268,1263663.33689001,906649.908562622,824733.260665924,1395037.9018634,2324950.83368297,1895746.27305038,1754845.339627,1371620.3893343,1659477.84626816,2215788.85303412,1509193.55751138,868819.031844548,1419332.42107807,1380323.37512872,195882.982821143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2.21986242198692,1.58537160941936,1.486436062788,1.80003281903088,1.77677146907377,0,0,0,62781.8019853305,1141517.98615631,1261566.40000454,905115.436941262,823188.08516975,1392017.65385436,2319429.92143115,1890041.47560588,1688734.01063414,1319162.15336058,1595070.30161965,2128820.48050909,1448643.75196132,832415.990725876,1359128.66917639,1321389.31011847,186642.262831685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2.21986242198692,1.62351235934226,1.486436062788,1.80003281903088,1.77677146907377,0,0,0,63449.0012794855,1153649.4001596,1272070.10646881,912739.009039119,830741.826666144,1406599.08201238,2344734.6960703,1915894.92377105,1712530.38024452,1338009.42375402,1618249.24360935,2160077.59983962,1469525.80702986,845301.293643537,1380833.35762913,1341800.16949686,188977.3409473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1.91528280425735,1.68956973146553,1.486436062788,1.80003281903088,1.77677146907377,0,0,0,69319.1086805893,1260380.3199832,1365909.00757083,981298.937245508,899523.877626976,1540567.14880625,2586701.94471131,2164918.38383477,1941667.29708314,1519998.37108095,1842265.51858965,2463099.75977241,1677165.07598181,972210.221287333,1593139.7789838,1547610.98544882,217335.330306717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1.91528280425735,1.68956973146553,1.486436062788,1.87952152348561,1.81523125264471,0,0,0,69319.1086805893,1260380.3199832,1365909.00757083,981298.937245508,899523.877626976,1540567.14880625,2586701.94471131,2164918.38383477,1886907.0903007,1476548.69088545,1788910.66202347,2391060.84554007,1627116.21095966,942065.02108441,1543229.69300584,1498906.81707441,209842.173257352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1.91528280425735,1.68956973146553,1.486436062788,1.5751046873897,1.81523125264471,0,0,0,69319.1086805893,1260380.3199832,1365909.00757083,981298.937245508,899523.877626976,1540567.14880625,2586701.94471131,2164918.38383477,2123968.00376699,1664612.68972532,2019760.2154843,2702660.40378088,1844014.82797598,1072433.91297893,1758780.02836029,1709356.53892506,242670.889769903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
