"","Year","EstSSB"
"2004/05",2004,25.3964258009168
"2005/06",2005,23.4625999462324
"2006/07",2006,19.2486214284519
"2007/08",2007,26.2806303534097
"2008/09",2008,25.0574014415991
"2009/10",2009,154.639323233863
"2010/11",2010,105.814217417162
"2011/12",2011,86.1622845239971
"2012/13",2012,92.9010122580074
"2013/14",2013,101.558009622301
"2014/15",2014,115.646597284912
"2015/16",2015,108.521917108139
"2016/17",2016,109.284489017154
