"","Year","EstBiomass","X95CI.LowBound","X95CI.HighBound"
"2004/05",2004,81.3373585138802,65.0790387136296,104.643690508439
"2005/06",2005,63.3590583085132,51.4405845395472,81.0333495925373
"2006/07",2006,88.1217218062327,70.3170541740887,114.792139807928
"2007/08",2007,55.9132772957879,45.6924704841965,71.0053909175931
"2008/09",2008,94.3424688167096,75.703616660616,122.176794146126
"2009/10",2009,260.205489049813,214.526673352357,327.232694932268
"2010/11",2010,158.6718495924,124.708087398908,218.409088036022
"2011/12",2011,114.845366148488,88.7048731852712,161.107313801041
"2012/13",2012,98.0170360083339,82.1973892449462,122.39466216972
"2013/14",2013,225.943901475586,171.288454088592,324.862779387782
"2014/15",2014,175.493101715367,139.990105306671,235.628402258434
"2015/16",2015,158.829260312609,127.508428773656,211.381632512067
