Year,Catch in kg
2004/05,54889
2005/06,46039
2006/07,38549
2007/08,33963
2008/09,32627
2009/10,100216
2010/11,48636
2011/12,38040
2012/13,37799
2013/14,41135
2014/15,45235
2015/16,33803
2016/17,32595
2017/18,14521

