"","Year","EstRec","X95CI.LowBound","X95CI.HighBound"
"rec6",2004,1648777.16037276,1419403.948096,1953053.36148334
"rec7",2005,1214937.17813037,1037419.69511646,1453538.89358735
"rec8",2006,1124327.67422069,946387.350368183,1366663.87176551
"rec9",2007,1866348.47443477,1548441.53496367,2303465.8323654
"rec10",2008,3510754.53611881,2825324.33560089,4472285.04814281
"rec11",2009,2461944.81537378,1940359.12211139,3195435.03850688
"rec12",2010,2313841.11586745,1794863.94589123,3046575.80428652
"rec13",2011,1808067.40837216,1397671.12925074,2388574.15435201
"rec14",2012,2207145.56345669,1705203.86488169,2918279.18561406
"rec15",2013,3081667.11082576,2384904.90060658,4070100.19757998
"rec16",2014,2526138.89357413,1949292.38363329,3346224.29809592
"rec17",2015,822570.771541168,640826.317706406,1078548.99597875
"rec18",2016,1121275.45735425,757897.198285071,1769678.84538477
