Year,Catch in kg
2004/05,54889
2005/06,46039
2006/07,38549
2007/08,33963
2008/09,32627
2009/10,100601
2010/11,48661
2011/12,38064
2012/13,37823
2013/14,41155
2014/15,45249
2015/16,34098
2016/17,32841
2017/18,25270
2018/19,32646
2019/20,26963.1
