"","par1","par2","par3","par4","log.lik","rec1","rec2","rec3","rec4","rec5","rec6","rec7","rec8","rec9","rec10","rec11","rec12","rec13","rec14","rec15","rec16","rec17","Biomass1","Biomass2","Biomass3","Biomass4","Biomass5","Biomass6","Biomass7","Biomass8","Biomass9","Biomass10","Biomass11","Biomass12"
"21",2.01732133758188,0.514399784419175,0.102647106669061,0.0307209830722301,3440.30228024732,0,0,0,35399.3778168869,715736.775995329,1496038.45462496,1098695.17720672,984175.466962527,1597453.07512109,2832374.3251615,1858382.18001534,1701182.4218988,1557948.17675703,2011645.09673924,2793686.2733122,1588883.00478774,1776958.72397835,74.9213403926145,58.4008262997855,81.1317203427728,51.5604445547181,86.8913577323137,240.09283892013,154.318395247709,112.483430073384,92.3357821616336,223.119662489037,169.375411933888,152.834470258485
"23",2.08398691479937,0.50802155445297,0.10204198229122,0.0275949946145247,3442.3454334379,0,0,0,35051.3752165421,708717.894652294,1472692.78793453,1080142.12309905,965457.037120156,1563100.00651272,2759830.34367493,1806107.62342132,1654377.71461575,1513836.83306689,1952796.29596696,2709165.18128155,1540932.2875807,1908768.99502206,72.8367890586925,56.744860663208,78.9048111706481,50.0806385435666,84.480997745002,233.089098409674,157.139052792379,115.328927231975,91.0298358633988,230.574745857214,171.167830892331,153.990057801936
"26",1.76468675896356,0.606736912244116,0.0960382521610066,0.0389052832645236,3441.35134922607,0,0,0,38140.8561653596,771110.982902841,1752656.7850728,1298123.8558367,1179732.86040383,1942082.99815654,3545724.21132035,2373779.17002743,2178673.77256946,1997735.36153719,2574576.13291825,3549254.42236838,1988892.58528137,1673310.61893165,89.9247011267427,69.6701241457123,97.7958144908339,61.2658529912155,104.390926973523,283.7381557062,159.399035299574,114.455327904432,101.940962352245,223.059910139842,177.810279221908,161.458310117311
"27",1.8671487808077,0.483576312935817,0.102858080254394,0.0394373748330914,3441.44762755519,0,0,0,35537.3460027823,718442.181920521,1472519.20239995,1083317.73041227,972065.198956177,1582359.29806484,2813261.89364596,1839203.99774906,1664036.65892262,1529240.97275593,1987339.72932968,2788973.05347843,1602965.2435209,1475874.13490421,80.8266738926222,63.0159991464641,87.5148095070479,55.6419225274659,93.7373800952706,259.141984476488,149.837550010294,107.49805342823,96.1738586036662,209.287454716972,167.295828510179,151.963584445018
"31",2.12996583152485,0.502788943470611,0.102786686873112,0.0393401200007582,3442.80985182251,0,0,0,34812.3190553465,703894.34107041,1454271.53782229,1065608.92826653,951001.822510663,1537108.23208902,2705043.71771645,1767462.62351356,1602463.72551457,1465222.2531721,1887967.67197515,2612297.7709086,1469744.8234355,1309413.82543235,70.889146452193,55.2647111481013,76.7584708771299,48.7956450330991,82.2133279454975,227.243775035877,131.478079836999,94.3410187320291,84.3343486839653,183.706136492099,146.773085613971,133.313297815718
"34",1.67847797888592,0.633274731112182,0.0916089484610025,0.0350666529113711,3441.83524977945,0,0,0,39176.3973891564,792018.134797047,1851657.63718925,1375880.71724509,1256525.98170267,2077664.91156033,3831627.53642987,2577513.37505762,2373778.58819597,2178089.44929916,2807072.17584506,3867369.09168777,2170911.47204238,1973764.50545641,97.9206029331006,75.5448807332617,106.80522825095,66.2473848041763,113.747694914694,305.632923720612,174.935117380288,126.438700263244,108.737919767731,248.341458746676,193.77416618317,175.477708540249
"35",1.81755253763966,0.591620385156011,0.100312455417261,0.0306931774729593,3440.20164687829,0,0,0,37574.2848572871,759672.142472486,1696087.61653657,1253741.81408642,1136106.19279758,1865578.81355194,3384262.44879405,2260585.34410106,2096090.84243804,1921473.65427605,2476954.87949916,3420754.69071964,1931356.02475661,2043457.87548587,84.5606330519586,65.7748044859138,91.7069888799669,57.9906200893184,98.103258514428,269.526761252396,171.350795058782,124.905668575707,102.499598860647,247.776746199396,188.057729956143,169.688067587382
"36",1.88003617170021,0.490644216502846,0.102458018961087,0.0329426852045706,3440.7373157735,0,0,0,35596.2866707844,719646.169870582,1482974.48428249,1091030.06987695,979182.715541866,1593976.77389767,2835637.94340458,1855861.00790056,1689079.38386809,1551661.86784041,2014925.41677536,2825231.05533569,1627790.94752567,1758900.67307906,80.4999717853542,62.7386253223745,87.1832747324294,55.3840244708645,93.363770791354,257.858485977266,160.467900475773,116.444814781553,97.9909327595134,229.782363423798,176.985120476625,160.005773670651
"38",1.75594734968542,0.543160627148058,0.101558514715801,0.028744428360058,3440.85393690853,0,0,0,37089.7780557314,749807.170019139,1614878.52806578,1193440.78182813,1079678.74948963,1771772.72940479,3201436.86586228,2121649.09995833,1955994.03275823,1797529.61397026,2330621.85621687,3255024.86301783,1870670.15642808,2208726.98975546,86.7430359914657,67.5491348955531,93.9986284992938,59.5990428088158,100.617301152371,277.282467937,182.877196683361,133.868850133031,107.267141603768,266.843849020139,199.781702429263,179.93865221108
"39",1.88512190908407,0.523180904733534,0.105920065890714,0.0281443781246158,3440.34760688853,0,0,0,36101.177454123,729878.185816718,1536193.94893163,1131054.02820597,1017457.63315564,1660044.47246131,2965351.78015646,1955564.67175157,1803671.34827021,1655025.47897208,2142678.66539384,2987959.83890565,1713097.48526262,2082619.47231264,78.3773562282828,61.2737371249915,84.698895854009,54.1993950256485,90.8578541765769,253.031987517249,172.070839532853,126.128632140146,100.283281604112,251.803802747164,187.695453329451,168.952836265565
