"","q","M","s1","s2","log.lik"
"1",1.799618821292,0.653451108762221,0.07,0.0297928256999644,3458.15740080142
"2",1.79985860196518,0.653167074385557,0.0700600600600601,0.0298026011930499,3458.0726490297
"3",1.80009784841544,0.652883355145481,0.0701201201201201,0.0298123717146788,3457.98814348104
"4",1.80033678072047,0.652599932917584,0.0701801801801802,0.0298221019765293,3457.90388364627
"5",1.80057499393805,0.65231681323653,0.0702402402402403,0.0298318604726137,3457.81986909248
"6",1.80081267279204,0.652034007797541,0.0703003003003003,0.0298416142112415,3457.73609931478
"7",1.80104997143243,0.651751493160655,0.0703603603603604,0.0298513389473987,3457.65257381593
"8",1.80128673490133,0.651469291774464,0.0704204204204204,0.0298610582275794,3457.56929213448
"9",1.80166821782343,0.651165963809015,0.0704804804804805,0.0298628270563802,3457.48625102188
"10",1.80189598723664,0.650891610947585,0.0705405405405405,0.0298715278304232,3457.40345537492
"11",1.80199355948882,0.650624505645767,0.0706006006006006,0.0298902473092545,3457.32090527489
"12",1.80222819363644,0.650343507845471,0.0706606606606607,0.0298999551975929,3457.23859411144
"13",1.8024623062958,0.650062811814265,0.0707207207207207,0.0299096579957651,3457.15652439256
"14",1.80269602146085,0.649782395345893,0.0707807807807808,0.0299193358766166,3457.07469563326
"15",1.80292910329006,0.649502298766827,0.0708408408408408,0.0299290270407821,3456.99310739139
"16",1.80316166793864,0.649222501686835,0.0709009009009009,0.0299387130707303,3456.91175918547
"17",1.80339371822821,0.64894300359645,0.070960960960961,0.0299483935212326,3456.83065054819
"18",1.80362518910563,0.64866381401018,0.071021021021021,0.0299580808276326,3456.74978102266
"19",1.80385627825355,0.648384902612759,0.0710810810810811,0.029967737807958,3456.66915011786
"20",1.80408682944023,0.648106302121702,0.0711411411411411,0.0299773901303685,3456.58875738886
"21",1.80431672634369,0.647828002993597,0.0712012012012012,0.0299870720369069,3456.50860239793
"22",1.80454621179667,0.64754999451534,0.0712612612612613,0.0299967253650022,3456.42868464293
"23",1.80477529474362,0.647272271732682,0.0713213213213213,0.0300063482712523,3456.34900366304
"24",1.80500376260284,0.646994853614399,0.0713813813813814,0.030015990375916,3456.26955903512
"25",1.80523161962069,0.646717743231784,0.0714414414414414,0.030025650834174,3456.19035030142
"26",1.80545914111398,0.646440902149675,0.0715015015015015,0.0300352686693921,3456.11137696285
"27",1.80568612113968,0.646164370974228,0.0715615615615616,0.0300448824557226,3456.03263859207
"28",1.80591252666984,0.645888131215727,0.0716216216216216,0.0300545136918946,3455.95413475076
"29",1.8061384607568,0.645612186499146,0.0716816816816817,0.0300641279210352,3455.8758649623
"30",1.80636388972111,0.645336535074609,0.0717417417417417,0.0300737367118141,3455.79782878379
"31",1.8065888145539,0.645061176468901,0.0718018018018018,0.0300833400042525,3455.72002576532
"32",1.80681323743246,0.644786110004149,0.0718618618618619,0.0300929374273766,3455.64245545792
"33",1.80703707486079,0.644511356944281,0.0719219219219219,0.0301025440378033,3455.56511742469
"34",1.80726057031579,0.644236853441549,0.071981981981982,0.0301121172171883,3455.48801118935
"35",1.80748351905949,0.643962660129895,0.0720420420420421,0.0301216863080881,3455.4111363274
"36",1.8077058177869,0.643688783963224,0.0721021021021021,0.0301312884047161,3455.33449242089
"37",1.80792772503699,0.643415175989277,0.0721621621621622,0.0301408597101241,3455.25807898226
"38",1.80814926333478,0.643141826029846,0.0722222222222222,0.0301503982050088,3455.18189556853
"39",1.80837014521639,0.642868798378419,0.0722822822822823,0.0301599702933327,3455.10594178571
"40",1.80859046703212,0.642596085349954,0.0723423423423424,0.0301695393556932,3455.03021716886
"41",1.8088104829723,0.642323602880602,0.0724024024024024,0.0301790740569654,3454.95472125794
"42",1.80902991051209,0.642051436586985,0.0724624624624625,0.0301886170209759,3454.87945364574
"43",1.80924887933062,0.641779551543887,0.0725225225225225,0.0301981418083241,3454.80441387799
"44",1.80946716327249,0.641508003397894,0.0725825825825826,0.0302077032160342,3454.72960155811
"45",1.80968521390869,0.641236664394628,0.0726426426426427,0.0302172151719176,3454.65501619262
"46",1.80990270400841,0.640965637319257,0.0727027027027027,0.0302267233310385,3454.5806573809
"47",1.81011961376793,0.640694915879275,0.0727627627627628,0.0302362535990773,3454.50652470962
"48",1.8103359473265,0.640424512416471,0.0728228228228228,0.0302457808051522,3454.43261773112
"49",1.81055209254896,0.64015429722159,0.0728828828828829,0.0302552568905689,3454.35893598304
"50",1.81076752291668,0.639884434465401,0.072942942942943,0.0302647710135341,3454.28547909924
"51",1.81098251448417,0.63961484230986,0.073003003003003,0.0302742655455262,3454.21224661301
"52",1.81119686471108,0.63934558534056,0.0730630630630631,0.0302837723638081,3454.13923812068
"53",1.8114110208007,0.639076512447127,0.0731231231231231,0.0302932401140339,3454.06645316218
"54",1.81160490077813,0.638815563411535,0.0731831831831832,0.0303025457257591,3453.9938912392
"55",1.81179339800088,0.638562835920167,0.0732432432432432,0.0303121486642319,3453.92155235316
"56",1.81204979328335,0.63827125176789,0.0733033033033033,0.0303216892604206,3453.849435454
"57",1.81226184563906,0.638003361659648,0.0733633633633634,0.0303311524299459,3453.7775405118
"58",1.81247340910962,0.637735754216157,0.0734234234234234,0.0303406104527312,3453.70586702043
"59",1.81268485628047,0.637468302326108,0.0734834834834835,0.0303500340653538,3453.63441454176
"60",1.81289527068613,0.637201318860407,0.0735435435435435,0.0303594991317661,3453.563182711
"61",1.81310567052875,0.636934454005558,0.0736036036036036,0.0303689067514536,3453.49217104441
"62",1.81331522979608,0.636667992477074,0.0736636636636637,0.0303783593109957,3453.42137919739
